Model,Mean_MAPE,Std_MAPE,Mean_R2,Std_R2,Mean_Score,Std_Score,Type,Improvement
LinearRegression,0.8338822059011353,0.13154179647261605,0.9426261287279708,0.003346528375172916,69.34256595951709,4.8360954585520615,Baseline,0.0
Ridge,0.8460690617639219,0.13112399061147945,0.9428041154554359,0.003304621083610893,68.89451978809112,4.820734948951452,Baseline,-0.4480461714259718
VotingEnsemble,0.8985999617474405,0.10161632936115146,0.9641324445090472,0.001683457662669149,66.96323670046175,3.735894461807041,Advanced,-2.379329259055339
XGBoost_Optimized,0.9179387602051152,0.10051056614088022,0.965899452972877,0.0016227261522392669,66.25225146304724,3.695241402238244,Advanced,-3.090314496469844
CatBoost,0.9856905438185537,0.14001637410974738,0.9640945148169541,0.0020218586166189036,63.761377065494344,5.14766081285836,Advanced,-5.581188894022745
GradientBoosting,1.129595116881823,0.16493024098424391,0.9555173026725164,0.002477528045685654,58.4707677616977,6.063611800891322,Baseline,-10.871798197819388
XGBoost,1.2349903445213175,0.18046657002608466,0.9399871077894231,0.00224076534688436,54.59594321612805,6.63480036860605,Advanced,-14.74662274338904
LightGBM,1.424579118224871,0.7609450467180587,0.9663215942187302,0.0014842415101863368,49.09279833216943,25.09984371436756,Advanced,-20.24976762734766
RandomForest,2.1635110439908902,1.5049609869431795,0.9087037603531172,0.0028131736575791196,38.43815199149164,19.652255986509616,Baseline,-30.90441396802545
ElasticNet,2.326319049830075,1.2712615698662715,0.8387796212472169,0.006425625749942044,29.753414366205817,18.472915746592275,Baseline,-39.58915159331127
Lasso,2.82157125764376,1.9041668736963855,0.7699737259539815,0.008646880123278099,24.709982101403632,16.08888252657688,Baseline,-44.632583858113456
MLP_300_150_75,3.344808087025803,0.8634018126810443,0.5505783974982078,0.019893285202131003,4.855777510815562,8.887804236199822,Advanced,-64.48678844870153
MLP_200_100_50,3.7748835253514783,1.4895315425716684,0.578409510483708,0.019940165418104058,2.8581144041497994,5.716228808299599,Advanced,-66.48445155536729
MLP_100_50,4.1678778888735275,0.8372110496154286,0.42575092741918247,0.05712656898284581,0.7225424932908083,1.4450849865816167,Advanced,-68.62002346622629
