iter	Passed	Remaining
0	69	13746
1	122	12081
2	174	11487
3	229	11256
4	283	11049
5	340	11005
6	395	10902
7	446	10726
8	503	10680
9	565	10739
10	620	10667
11	674	10562
12	729	10491
13	781	10387
14	834	10297
15	889	10231
16	945	10175
17	999	10105
18	1051	10013
19	1105	9948
20	1160	9889
21	1214	9823
22	1267	9757
23	1321	9691
24	1377	9643
25	1432	9587
26	1487	9527
27	1538	9451
28	1592	9392
29	1645	9324
30	1701	9275
31	1754	9208
32	1809	9158
33	1866	9112
34	1919	9048
35	1970	8978
36	2026	8925
37	2080	8869
38	2133	8805
39	2189	8756
40	2244	8705
41	2299	8651
42	2353	8593
43	2406	8531
44	2465	8491
45	2517	8428
46	2572	8373
47	2627	8321
48	2682	8267
49	2736	8210
50	2790	8151
51	2843	8092
52	2896	8033
53	2949	7973
54	3000	7911
55	3053	7852
56	3106	7793
57	3160	7738
58	3214	7681
59	3266	7621
60	3320	7567
61	3373	7508
62	3432	7464
63	3487	7410
64	3541	7355
65	3594	7296
66	3647	7241
67	3699	7181
68	3754	7128
69	3809	7075
70	3864	7020
71	3915	6960
72	3967	6903
73	4019	6844
74	4074	6791
75	4129	6736
76	4182	6680
77	4238	6629
78	4300	6587
79	4356	6534
80	4411	6480
81	4469	6431
82	4522	6375
83	4575	6318
84	4630	6264
85	4683	6208
86	4738	6154
87	4791	6098
88	4844	6042
89	4896	5985
90	4949	5928
91	5003	5873
92	5058	5819
93	5111	5764
94	5165	5709
95	5218	5653
96	5273	5599
97	5325	5542
98	5381	5490
99	5435	5435
100	5490	5382
101	5549	5332
102	5602	5276
103	5655	5220
104	5708	5164
105	5762	5110
106	5814	5054
107	5867	4998
108	5923	4944
109	5979	4891
110	6034	4838
111	6089	4784
112	6147	4733
113	6201	4678
114	6256	4624
115	6310	4569
116	6368	4517
117	6423	4463
118	6475	4407
119	6534	4356
120	6589	4302
121	6641	4246
122	6696	4192
123	6749	4137
124	6804	4082
125	6864	4031
126	6915	3975
127	6969	3920
128	7025	3867
129	7081	3812
130	7137	3759
131	7190	3704
132	7242	3648
133	7295	3593
134	7351	3539
135	7402	3483
136	7454	3427
137	7514	3375
138	7568	3321
139	7622	3266
140	7677	3212
141	7731	3157
142	7785	3103
143	7835	3046
144	7891	2993
145	7941	2937
146	7996	2883
147	8051	2828
148	8104	2773
149	8157	2719
150	8215	2665
151	8267	2610
152	8322	2556
153	8375	2501
154	8433	2448
155	8485	2393
156	8540	2339
157	8594	2284
158	8651	2230
159	8705	2176
160	8755	2121
161	8809	2066
162	8864	2012
163	8919	1957
164	8973	1903
165	9027	1849
166	9079	1794
167	9135	1740
168	9189	1685
169	9245	1631
170	9300	1577
171	9356	1523
172	9412	1469
173	9465	1414
174	9518	1359
175	9571	1305
176	9626	1250
177	9677	1196
178	9733	1141
179	9786	1087
180	9838	1032
181	9888	978
182	9943	923
183	9995	869
184	10048	814
185	10104	760
186	10157	706
187	10210	651
188	10276	598
189	10330	543
190	10386	489
191	10442	435
192	10499	380
193	10552	326
194	10607	271
195	10659	217
196	10715	163
197	10768	108
198	10822	54
199	10875	0
