iter	Passed	Remaining
0	57	11484
1	111	11008
2	167	10991
3	213	10468
4	267	10419
5	327	10593
6	378	10447
7	430	10321
8	486	10328
9	534	10148
10	587	10100
11	636	9967
12	688	9905
13	739	9831
14	783	9667
15	829	9534
16	880	9478
17	927	9379
18	984	9375
19	1028	9259
20	1076	9172
21	1125	9110
22	1175	9046
23	1226	8991
24	1278	8952
25	1327	8884
26	1377	8825
27	1433	8804
28	1480	8729
29	1531	8676
30	1579	8612
31	1627	8545
32	1679	8499
33	1735	8472
34	1786	8422
35	1833	8353
36	1888	8319
37	1936	8257
38	1986	8201
39	2041	8164
40	2095	8124
41	2142	8061
42	2194	8013
43	2247	7969
44	2298	7916
45	2353	7880
46	2408	7840
47	2457	7783
48	2506	7725
49	2560	7682
50	2613	7635
51	2662	7578
52	2718	7538
53	2772	7496
54	2822	7440
55	2874	7391
56	2926	7341
57	2977	7290
58	3029	7240
59	3084	7196
60	3135	7144
61	3189	7099
62	3237	7040
63	3292	6995
64	3351	6960
65	3400	6903
66	3452	6852
67	3506	6807
68	3563	6765
69	3612	6708
70	3665	6660
71	3718	6610
72	3771	6560
73	3821	6506
74	3869	6449
75	3920	6396
76	3972	6346
77	4029	6302
78	4077	6245
79	4129	6194
80	4183	6145
81	4232	6091
82	4281	6036
83	4334	5985
84	4389	5938
85	4436	5881
86	4491	5833
87	4546	5786
88	4593	5729
89	4642	5674
90	4692	5620
91	4743	5568
92	4790	5511
93	4843	5461
94	4889	5403
95	4943	5355
96	4996	5305
97	5048	5254
98	5098	5201
99	5152	5152
100	5203	5100
101	5257	5051
102	5312	5003
103	5365	4953
104	5415	4899
105	5464	4845
106	5514	4793
107	5565	4740
108	5613	4686
109	5665	4635
110	5719	4586
111	5770	4533
112	5822	4482
113	5875	4432
114	5925	4379
115	5975	4326
116	6026	4275
117	6074	4221
118	6126	4170
119	6182	4121
120	6229	4067
121	6280	4015
122	6342	3970
123	6389	3915
124	6439	3863
125	6493	3813
126	6546	3762
127	6595	3710
128	6645	3657
129	6697	3606
130	6743	3551
131	6797	3501
132	6853	3452
133	6902	3399
134	6949	3346
135	7004	3296
136	7054	3244
137	7101	3190
138	7154	3139
139	7204	3087
140	7253	3035
141	7308	2985
142	7364	2935
143	7410	2882
144	7461	2830
145	7516	2780
146	7567	2728
147	7617	2676
148	7664	2623
149	7714	2571
150	7764	2519
151	7813	2467
152	7877	2419
153	7925	2367
154	7972	2314
155	8028	2264
156	8079	2212
157	8128	2160
158	8181	2109
159	8230	2057
160	8278	2005
161	8332	1954
162	8395	1905
163	8442	1853
164	8487	1800
165	8537	1748
166	8586	1696
167	8632	1644
168	8692	1594
169	8746	1543
170	8797	1491
171	8847	1440
172	8902	1389
173	8950	1337
174	9001	1285
175	9053	1234
176	9110	1183
177	9158	1131
178	9216	1081
179	9265	1029
180	9324	978
181	9377	927
182	9426	875
183	9479	824
184	9544	773
185	9589	721
186	9636	669
187	9690	618
188	9740	566
189	9794	515
190	9844	463
191	9899	412
192	9948	360
193	10002	309
194	10056	257
195	10105	206
196	10159	154
197	10216	103
198	10266	51
199	10316	0
