iter	Passed	Remaining
0	261	52007
1	463	45874
2	645	42379
3	835	40938
4	1024	39971
5	1240	40114
6	1472	40586
7	1676	40236
8	1904	40410
9	2202	41851
10	2499	42946
11	2756	43192
12	2984	42925
13	3202	42543
14	3404	41988
15	3585	41236
16	3970	42740
17	4210	42572
18	4393	41858
19	4614	41533
20	4802	40937
21	5059	40935
22	5352	41189
23	5641	41373
24	5928	41496
25	6142	41105
26	6334	40589
27	6562	40314
28	6779	39977
29	6977	39537
30	7187	39181
31	7367	38676
32	7564	38279
33	7823	38197
34	8141	38380
35	8512	38780
36	8818	38847
37	9062	38636
38	9284	38329
39	9567	38271
40	9846	38186
41	10150	38186
42	10439	38115
43	10736	38065
44	11066	38118
45	11374	38080
46	11650	37924
47	11910	37716
48	12267	37804
49	12521	37564
50	12770	37310
51	13083	37237
52	13293	36870
53	13562	36669
54	13895	36633
55	14290	36746
56	14646	36745
57	14885	36444
58	15093	36069
59	15279	35652
60	15502	35324
61	15687	34917
62	15885	34545
63	16057	34121
64	16324	33905
65	16498	33497
66	16844	33436
67	17154	33300
68	17428	33088
69	17625	32733
70	17822	32381
71	18029	32052
72	18239	31730
73	18435	31390
74	18639	31066
75	18832	30726
76	19029	30397
77	19253	30114
78	19475	29829
79	19772	29658
80	20035	29434
81	20348	29281
82	20592	29027
83	20777	28693
84	21005	28418
85	21231	28143
86	21457	27870
87	21693	27610
88	21875	27282
89	22139	27059
90	22359	26782
91	22685	26630
92	22958	26414
93	23155	26111
94	23394	25857
95	23584	25550
96	23813	25286
97	23994	24973
98	24217	24706
99	24427	24427
100	24589	24102
101	24759	23788
102	24975	23520
103	25237	23295
104	25502	23074
105	25927	22991
106	26242	22809
107	26417	22504
108	26623	22226
109	26805	21932
110	26985	21636
111	27187	21361
112	27391	21089
113	27583	20808
114	27784	20536
115	28001	20276
116	28208	20010
117	28470	19784
118	28776	19587
119	29075	19383
120	29269	19109
121	29460	18835
122	29683	18582
123	29876	18311
124	30083	18050
125	30280	17783
126	30494	17528
127	30696	17266
128	30887	17000
129	31093	16742
130	31378	16527
131	31659	16309
132	31901	16070
133	32091	15806
134	32287	15545
135	32492	15290
136	32725	15048
137	32924	14792
138	33153	14549
139	33355	14295
140	33567	14046
141	33773	13794
142	34090	13588
143	34383	13371
144	34631	13136
145	34818	12878
146	35027	12628
147	35258	12387
148	35453	12134
149	35633	11877
150	35825	11625
151	36064	11388
152	36257	11137
153	36481	10896
154	36735	10665
155	37049	10449
156	37401	10243
157	37666	10012
158	37860	9762
159	38097	9524
160	38292	9275
161	38455	9020
162	38630	8768
163	38843	8526
164	39041	8281
165	39223	8033
166	39419	7789
167	39654	7553
168	39965	7330
169	40234	7100
170	40502	6868
171	40718	6628
172	40932	6388
173	41159	6150
174	41360	5908
175	41595	5672
176	41789	5430
177	42004	5191
178	42217	4952
179	42418	4713
180	42618	4473
181	42954	4248
182	43236	4016
183	43479	3780
184	43664	3540
185	43910	3305
186	44083	3064
187	44249	2824
188	44476	2588
189	44703	2352
190	44897	2115
191	45077	1878
192	45372	1645
193	45999	1422
194	46336	1188
195	46588	950
196	46783	712
197	46996	474
198	47181	237
199	47417	0
